# GrowSpot species light levels — snapshot 2026-09-05 — CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/) — attribution: GrowSpot — growspotapp.com
common_name,scientific_name,light_requirement
Elephant Ear Alocasia,Alocasia macrorrhizos,high
Grey Dragon Alocasia,Alocasia maharani,high
Rugged Jewel Alocasia,Alocasia melo,medium
Alocasia Frydek,Alocasia micholitziana,medium
Alocasia Nebula,Alocasia nebula,medium
Giant Taro,Alocasia odora,medium
Malaysian Monster,Alocasia portei,medium
Black Velvet Alocasia,Alocasia reginula,medium
Kris Plant,Alocasia sanderiana,medium
Alocasia Wentii,Alocasia wentii,medium
Zebrina Alocasia,Alocasia zebrina,high
Red Hot Poker Aloe,Aloe aculeata,very_high
Krantz Aloe,Aloe arborescens,very_high
Short-leaved Aloe,Aloe brevifolia,very_high
Snake Aloe,Aloe broomii,high
Red Aloe,Aloe cameronii,very_high
Descoings' Aloe,Aloe descoingsii,medium
Cape Aloe,Aloe ferox,very_high
Haworthia-Leaved Aloe,Aloe haworthioides,medium
Spider Aloe,Aloe humilis,high
Tiger Tooth Aloe,Aloe juvenna,high
Soap Aloe,Aloe maculata,high
Mountain Aloe,Aloe marlothii,very_high
Gold Tooth Aloe,Aloe nobilis,high
Fan Aloe,Aloe plicatilis,high
Spiral Aloe,Aloe polyphylla,high
Meadow Aloe,Aloe pratensis,high
Snowflake Aloe,Aloe rauhii,medium
Coral Aloe,Aloe striata,high
Aloe vera,Aloe vera,very_high
Climbing Aloe,Aloiampelos ciliaris,high
Lemon Verbena,Aloysia citrodora,high
Shell Ginger,Alpinia zerumbet,high
Joseph's coat,Alternanthera ficoidea,high
Belladonna Lily,Amaryllis belladonna,high
Sunrise anacampseros,Anacampseros lanigera,very_high
Love plant,Anacampseros rufescens,very_high
Sand rose,Anacampseros telephiastrum,very_high
Red Pineapple,Ananas bracteatus,high
Pineapple,Ananas comosus,high
Dill,Anethum graveolens,very_high
Angelonia (summer snapdragon),Angelonia angustifolia,very_high
Darwin's Orchid,Angraecum sesquipedale,high
Tulip Orchid,Anguloa uniflora,medium
Velvet jewel orchid (Black jewel),Anoectochilus roxburghii,low
Leopard Orchid,Ansellia africana,high
Chervil,Anthriscus cerefolium,medium
Ace of Spades Anthurium,Anthurium 'Ace of Spades',medium
Lady Jane Anthurium (Laceleaf),Anthurium 'Lady Jane',medium
Flamingo flower,Anthurium andraeanum,medium
Livium Anthurium (Flamingo Flower),Anthurium andraeanum 'Livium',medium
Obake Anthurium,Anthurium andraeanum 'Obake',medium
Pink Champion Anthurium (Flamingo Flower),Anthurium andraeanum 'Pink Champion',medium
Anthurium Clarinervium,Anthurium clarinervium,medium
Anthurium Crystallinum,Anthurium crystallinum,medium
Forget's Anthurium,Anthurium forgetii,medium
Red pearls anthurium,Anthurium gracile,medium
Birds Nest Anthurium,Anthurium hookeri,medium
Anthurium Magnificum,Anthurium magnificum,medium
Anthurium Pedatoradiatum (Fingers),Anthurium pedatoradiatum,medium
Hanging anthurium,Anthurium pendens,medium
Radicans Anthurium,Anthurium radicans,medium
Anthurium Radicans x Crystallinum,Anthurium radicans x x crystallinum,medium
Regal Anthurium,Anthurium regale,medium
Pigtail Anthurium,Anthurium scherzerianum,medium
Bird's Nest Anthurium,Anthurium superbum,medium
Anthurium Veitchii,Anthurium veitchii,medium
Strap leaf anthurium,Anthurium vittariifolium,medium
Anthurium Warocqueanum,Anthurium warocqueanum,medium
Common snapdragon,Antirrhinum majus,high
Zebra plant,Aphelandra squarrosa,medium
Rat Tail Cactus,Aporocactus flagelliformis,high
East Indian Holly Fern,Arachniodes simplicior,low
Norfolk Island Pine,Araucaria heterophylla,medium
Ardisia coral berry,Ardisia crenata,medium
Marlberry,Ardisia crispa,medium
Spreading ardisia (dwarf),Ardisia humilis,medium
Marguerite daisy,Argyranthemum frutescens,high
Living Rock Cactus,Ariocarpus fissuratus,very_high
Seven star needle,Ariocarpus retusus,very_high
Lace Aloe,Aristaloe aristata,high
Giant Dutchman's pipe,Aristolochia gigantea,high
Pelican flower,Aristolochia grandiflora,high
Brazilian Dutchman's pipe,Aristolochia labiata,high
Calico flower / Dutchman's pipe,Aristolochia littoralis,high
French Tarragon,Artemisia dracunculus,very_high
Bamboo Orchid,Arundina graminifolia,high
Flask-shaped Ascocentrum,Ascocentrum ampullaceum,high
Sprenger's Asparagus Fern,Asparagus aethiopicus,medium
Foxtail Fern,Asparagus densiflorus 'Myersii',medium
Asparagus Fern,Asparagus setaceus,medium
Epidendrum-like Aspasia,Aspasia epidendroides,medium
Cast iron plant,Aspidistra elatior,low
Crispy Wave Fern,Asplenium antiquum,medium
Crow's Nest Fern,Asplenium australasicum,low
Mother Fern,Asplenium bulbiferum,medium
Bird's nest fern,Asplenium nidus,low
Hart's Tongue Fern,Asplenium scolopendrium,low
Maidenhair Spleenwort,Asplenium trichomanes,low
Star Cactus,Astrophytum asterias,very_high
Star Cactus (Capricorn),Astrophytum capricorne,very_high
Medusa Head Cactus,Astrophytum caput-medusae,very_high
Coahuila Bishop's Cap,Astrophytum coahuilense,very_high
Bishop's Cap Cactus,Astrophytum myriostigma,very_high
Goat's Horn Cactus,Astrophytum ornatum,very_high
Senile Star Cactus,Astrophytum senile,very_high
Eve's Needle Cactus,Austrocylindropuntia subulata,very_high
Neem Tree,Azadirachta indica,high
Hedge bamboo,Bambusa multiplex,high
Climbing aloe relative / coral creeper,Barleria repens,high
Ponytail palm,Beaucarnea recurvata,very_high
Dragon Wing Begonia,Begonia 'Dragon Wing',medium
Lucerna Angel Wing Begonia,Begonia 'Lucerna',medium
Begonia,"Begonia 'Marmalade', 'Silver Dollar', or related cane/shrub-like hybrids",high
Sophie Cecile Angel Wing Begonia,Begonia 'Sophie Cecile',medium
Begonia Maculata 'Tamaya',Begonia aconitifolia,medium
Begonia Amphioxus,Begonia amphioxus,medium
Begonia (Bolivian),Begonia boliviensis,medium
Eyelash Begonia,Begonia bowerae,medium
Tiger Begonia,Begonia bowerae 'Tiger',medium
Begonia Brevirimosa (Exotica),Begonia brevirimosa,medium
Angel Wing Begonia,Begonia coccinea,medium
Maple-leaf Begonia,Begonia dregei,medium
Rieger Begonia,Begonia elatior,medium
Beefsteak Begonia,Begonia erythrophylla,medium
Fernleaf begonia,Begonia foliosa,medium
Fuchsia begonia,Begonia fuchsioides,medium
Begonia Listada,Begonia listada,medium
Palm Leaf Begonia,Begonia luxurians,medium
Polka Dot Begonia,Begonia maculata,medium
Iron Cross Begonia,Begonia masoniana,medium
Metallic leaf begonia,Begonia metallica,medium
Rex Begonia,Begonia rex,medium
Escargot Begonia,Begonia rex 'Escargot',medium
Fireworks Begonia,Begonia rex 'Fireworks',medium
Jurassic Begonia,Begonia rex 'Jurassic Silver Swirl',medium
Wax begonia,Begonia semperflorens,medium
Pink Spotted Begonia,Begonia serratipetala,medium
Sun Changing Begonia,Begonia solimutata,medium
Sutherland begonia,Begonia sutherlandii,medium
Tuberous Begonia,Begonia tuberhybrida,medium
Veined begonia,Begonia venosa,high
English Daisy,Bellis perennis,high
Aluminum Plant (Bertolonia),Bertolonia maculata,medium
Marble Bertolonia,Bertolonia marmorata,medium
Harrison's Bifrenaria,Bifrenaria harrisoniae,medium
Pleasing Billbergia,Billbergia amoena,medium
Queen's Tears,Billbergia nutans,medium
Flaming Torch,Billbergia pyramidalis,high
Striped Billbergia,Billbergia vittata,high
Zebra Billbergia,Billbergia zebrina,high
Little Tree plant,Biophytum sensitivum,medium
Bismarck Palm,Bismarckia nobilis,high
Dwarf Tree Fern,Blechnum gibbum,medium
Hybrid bougainvillea,Bougainvillea buttiana,very_high
Cape Jasmine Bougainvillea,Bougainvillea glabra,very_high
Great bougainvillea,Bougainvillea spectabilis,very_high
Climbing Onion,Bowiea volubilis,high
Lady of the Night,Brassavola nodosa,high
Tailed Spider Orchid,Brassia caudata,medium
Giroud's Spider Orchid,Brassia gireoudiana,medium
Spider Orchid,Brassia verrucosa,medium
Snowbush,Breynia disticha,high
Paper Mulberry,Broussonetia papyrifera,high
Browallia (bush violet),Browallia speciosa,medium
White angel's trumpet,Brugmansia arborea,high
Golden angel's trumpet,Brugmansia aurea,high
Red angel's trumpet,Brugmansia sanguinea,high
Pink angel's trumpet,Brugmansia suaveolens,very_high
Peach angel's trumpet,Brugmansia versicolor,high
Angel's trumpet,Brugmansia x candida,very_high
Brunfelsia Yesterday Today Tomorrow,Brunfelsia pauciflora,high
Hedgehog Orchid,Bulbophyllum echinolabium,medium
Lobb's Bulbophyllum,Bulbophyllum lobbii,medium
Medusa Orchid,Bulbophyllum medusae,medium
Rainbow plant,Byblis liniflora,very_high
White Mosaic Caladium,Caladium 'White Mosaic',medium
Caladium,Caladium bicolor,medium
Aaron Caladium,Caladium bicolor 'Aaron',medium
Candidum Caladium (Angel Wings),Caladium bicolor 'Candidum',medium
Carolyn Whorton Caladium,Caladium bicolor 'Carolyn Whorton',medium
Florida Sweetheart Caladium,Caladium bicolor 'Florida Sweetheart',medium
Frieda Hemple Caladium,Caladium bicolor 'Frieda Hemple',medium
Gingerland Caladium (strap-leaf),Caladium bicolor 'Gingerland',medium
Humboldt's Caladium,Caladium bicolor 'Humboldtii',medium
Miss Muffet Caladium,Caladium bicolor 'Miss Muffet',medium
Pink Splash Caladium,Caladium bicolor 'Pink Splash',medium
Red Flash Caladium,Caladium bicolor 'Red Flash',medium
Strawberry Star Caladium,Caladium bicolor 'Strawberry Star',medium
White Christmas Caladium,Caladium bicolor 'White Christmas',medium
White Queen Caladium,Caladium bicolor 'White Queen',medium
Miniature Caladium,Caladium humboldtii,medium
Florida Caladium,Caladium schomburgkii,medium
Strap-Leaf Caladium,Caladium steudnerifolium,medium
Clothed Calanthe,Calanthe vestita,medium
White Fusion Calathea,Calathea 'White Fusion',medium
Tall Calathea,Calathea altissima,medium
Capitate Calathea,Calathea capitata,medium
Rattlesnake Calathea,Calathea crotalifera,medium
Calathea Cylindrica,Calathea cylindrica,medium
Rattlesnake plant,Calathea lancifolia,medium
Cuban Cigar Calathea,Calathea lutea,medium
Calathea (Peacock plant),Calathea makoyana,medium
Round Leaf Calathea,Calathea orbifolia,medium
Silver Calathea,Calathea picturata 'Argentea',medium
Calathea Timothei,Calathea timothei,medium
Zebra Plant Classic,Calathea zebrina,medium
Florist's Calceolaria,Calceolaria herbeohybrida,medium
Calendula (Pot Marigold),Calendula officinalis,high
Calibrachoa (million bells),Calibrachoa parviflora,high
Basket Plant,Callisia fragrans,high
Bolivian Jew,Callisia gentlei,high
Chain Plant,Callisia navicularis,high
Turtle Vine,Callisia repens,high
Japanese camellia,Camellia japonica,medium
Gabiroba,Campomanesia xanthocarpa,very_high
Linden's Canistrum,Canistrum lindenii,medium
Cannabis,Cannabis sativa,very_high
Ornamental Chili Pepper,Capsicum annuum,very_high
Aji Amarillo Pepper,Capsicum baccatum,very_high
Habanero Pepper,Capsicum chinense,very_high
Tabasco Pepper,Capsicum frutescens,very_high
Rocoto / Manzano Pepper,Capsicum pubescens,very_high
Papaya,Carica papaya,very_high
Natal Plum,Carissa macrocarpa,high
Fukien tea,Carmona retusa,high
Korean hornbeam,Carpinus turczaninowii,high
Fishtail Palm,Caryota mitis,medium
Mother-of-Pearl Orchid,Catasetum pileatum,high
Vinca (annual periwinkle),Catharanthus roseus,high
Powdery Strap Airplant,Catopsis berteroniana,high
Amethyst Cattleya,Cattleya amethystoglossa,high
Two-colored Cattleya,Cattleya bicolor,high
Queen Cattleya,Cattleya dowiana,high
Forbes' Cattleya,Cattleya forbesii,high
Granular Cattleya,Cattleya granulosa,high
Intermediate Cattleya,Cattleya intermedia,high
Cattleya Orchid,Cattleya labiata,high
Yellow Dwarf Cattleya,Cattleya luteola,high
Christmas Cattleya,Cattleya maxima,high
Easter Orchid,Cattleya mossiae,high
Noble Dwarf Cattleya,Cattleya nobilior,high
Percival's Cattleya,Cattleya percivaliana,high
Schiller's Cattleya,Cattleya schilleriana,high
Christmas Orchid,Cattleya trianae,high
Walker's Cattleya,Cattleya walkeriana,high
Warscewicz's Cattleya,Cattleya warscewiczii,high
Silver Cockscomb,Celosia argentea,high
Wheat Celosia,Celosia spicata,high
European Hackberry,Celtis australis,high
Common Hackberry,Celtis occidentalis,high
Old Man Cactus,Cephalocereus senilis,very_high
Australian pitcher plant (Albany),Cephalotus follicularis,high
Blue Column Cactus,Cereus forbesii,very_high
Fairy Castle Cactus,Cereus hildmannianus,very_high
Mandacaru Cactus,Cereus jamacaru,very_high
Peruvian Apple Cactus,Cereus repandus,very_high
Paraguayan Cereus,Cereus stenogonus,very_high
String of Spades,Ceropegia ampliata,high
String of Needles,Ceropegia linearis,high
String of Hearts,Ceropegia woodii,high
Chain of Hearts variegated,Ceropegia woodii 'Variegata',high
Hinoki cypress,Chamaecyparis obtusa,high
Cat Palm,Chamaedorea cataractarum,medium
Areca Bamboo Palm,Chamaedorea costaricana,medium
Parlor palm,Chamaedorea elegans,low
Metallic Palm,Chamaedorea metallica,low
Hardy Parlor Palm,Chamaedorea radicalis,medium
Bamboo Palm,Chamaedorea seifrizii,medium
Pacaya Palm,Chamaedorea tepejilote,medium
Roman Chamomile,Chamaemelum nobile,high
European Fan Palm,Chamaerops humilis,very_high
Fire Flash,Chlorophytum amaniense,medium
Fire Flash / Mandarin Plant,Chlorophytum amaniense 'Fire Flash',medium
Saint Bernard's Lily,Chlorophytum bichetii,medium
Spider plant,Chlorophytum comosum,medium
Curly Spider Plant,Chlorophytum comosum 'Bonnie',medium
Ocean Spider Plant,Chlorophytum comosum 'Ocean',medium
Variegated Spider Plant,Chlorophytum comosum 'Variegatum',medium
Spider Plant (Vittatum),Chlorophytum comosum 'Vittatum',medium
Zebra Spider Plant,Chlorophytum laxum,medium
Florist's Chrysanthemum,Chrysanthemum morifolium,high
Mexican Tree Fern,Cibotium schiedei,low
Kangaroo Vine,Cissus antarctica,medium
Grape Ivy,Cissus rhombifolia,medium
Key Lime,Citrus aurantiifolia,very_high
Australian Finger Lime,Citrus australasica,very_high
Bergamot Orange,Citrus bergamia,very_high
Australian Desert Lime,Citrus glauca,very_high
Kaffir Lime,Citrus hystrix,very_high
Nagami Kumquat,Citrus japonica,very_high
Meiwa Kumquat,Citrus japonica 'Meiwa',very_high
Persian Lime,Citrus latifolia,very_high
Tahitian Pummelo (Otaheite),Citrus limetta,very_high
Lemon tree,Citrus limon,very_high
Pomelo,Citrus maxima,very_high
Citron / Buddha's Hand,Citrus medica,very_high
Calamondin,Citrus microcarpa,very_high
Grapefruit,Citrus paradisi,very_high
Owari Mandarin,Citrus reticulata,very_high
Pixie Mandarin,Citrus reticulata 'Pixie',very_high
Sweet Orange,Citrus sinensis,very_high
Satsuma Mandarin,Citrus unshiu,very_high
Centipede Orchid,Cleisostoma scolopendrifolium,medium
Firecracker Cactus,Cleistocactus baumannii,very_high
Silver Torch Cactus,Cleistocactus strausii,very_high
Clerodendrum Bleeding Heart,Clerodendrum thomsoniae,high
Blue butterfly bush / blue glory bower,Clerodendrum ugandense,high
Bush Lily,Clivia miniata,medium
Natal Lily,Clivia nobilis,medium
Amazon Cochleanthes,Cochleanthes amazonica,low
Coconut Palm,Cocos nucifera,high
Croton,Codiaeum variegatum,high
Excellent Croton,Codiaeum variegatum 'Excellent',high
Gold Dust Croton,Codiaeum variegatum 'Gold Dust',high
Magnificent Croton,Codiaeum variegatum 'Magnificent',high
Mammy Croton,Codiaeum variegatum 'Mammy',high
Norma Croton,Codiaeum variegatum 'Norma',high
Oakleaf Croton,Codiaeum variegatum 'Oakleaf',high
Petra Croton,Codiaeum variegatum 'Petra',high
Zanzibar Croton,Codiaeum variegatum 'Zanzibar',high
Crested Coelogyne,Coelogyne cristata,medium
Fringed Coelogyne,Coelogyne fimbriata,medium
Shining Coelogyne,Coelogyne nitida,medium
Black Orchid,Coelogyne pandurata,medium
Coffee Plant,Coffea arabica,medium
Abey,Cojoba arborea,medium
Coleus,Coleus scutellarioides,high
Black Dragon coleus,Coleus scutellarioides 'Black Dragon',high
Kong coleus (Kong series),Coleus scutellarioides 'Kong Rose',high
ColorBlaze Redhead,Coleus scutellarioides 'Redhead',high
ColorBlaze Sedona Sunset,Coleus scutellarioides 'Sedona Sunset',high
Wasabi coleus (ColorBlaze),Coleus scutellarioides 'Wasabi',high
Wizard coleus (Wizard series),Coleus scutellarioides 'Wizard Velvet Red',high
Jenningsii Taro,Colocasia affinis,medium
Elephant Ear Colocasia,Colocasia esculenta,high
Mojito Taro,Colocasia esculenta 'Mojito',high
Silver Dollar Taro,Colocasia fallax,medium
Giant Elephant Ear,Colocasia gigantea,medium
Columnea / Flying Goldfish Plant,Columnea gloriosa,medium
Showy Comparettia,Comparettia speciosa,medium
Living pebbles,Conophytum bilobum,very_high
Button plant,Conophytum calculus,very_high
Cone plant,Conophytum minutum,very_high
Heart Cone Plant,Conophytum obcordellum,high
Window Cone Plant,Conophytum pellucidum,high
Grape Cone Plant,Conophytum uviforme,high
Copiapoa,Copiapoa cinerea,very_high
Greenwool copiapoa,Copiapoa cinerea var. haseltoniana,very_high
Dwarf copiapoa,Copiapoa humilis,very_high
Hypogaea copiapoa,Copiapoa hypogaea,very_high
Tenuissima copiapoa,Copiapoa tenuissima,very_high
Cabbage Palm,Cordyline australis,high
Red Star Cabbage Palm (spike plant),Cordyline australis 'Red Star',high
Ti Plant,Cordyline fruticosa,high
Chocolate Queen Ti Plant,Cordyline fruticosa 'Chocolate Queen',high
Kiwi Ti Plant,Cordyline fruticosa 'Kiwi',high
Red Sister Ti Plant,Cordyline fruticosa 'Red Sister',high
Cilantro / Coriander,Coriandrum sativum,high
Bucket Orchid,Coryanthes macrantha,medium
Beehive Cactus,Coryphantha elephantidens,very_high
Large pig's ear,Cotyledon barbeyi,very_high
Bell cotyledon,Cotyledon campanulata,high
Elise's cotyledon,Cotyledon eliseae,high
Cub's paw,Cotyledon ladismithiensis,high
Large-flowered cotyledon,Cotyledon macrantha,high
Pig's Ear,Cotyledon orbiculata,very_high
Small pig's ear,Cotyledon papillaris,high
Cliff cotyledon,Cotyledon pendens,high
Bear's Paw,Cotyledon tomentosa,high
Velvet cotyledon,Cotyledon velutina,very_high
Wood's cotyledon,Cotyledon woodii,high
Alston's crassula,Crassula alstonii,very_high
Silver Dollar Plant / Rattlesnake,Crassula arborescens,very_high
Aus crassula,Crassula ausensis,very_high
Rattlesnake tail,Crassula barklyi,very_high
Short-leaf crassula,Crassula brevifolia,very_high
Red Pagoda / Shark's Tooth,Crassula capitella,very_high
Campfire Crassula,Crassula capitella 'Campfire',very_high
Koppie crassula,Crassula columnaris,very_high
Red pagoda,Crassula corymbulosa,very_high
Plakkie crassula,Crassula cotyledonis,high
Deceptive crassula,Crassula deceptor,very_high
Tiger jade,Crassula exilis,high
Lemon-scented crassula,Crassula expansa,high
Propeller Plant / Airplane Plant,Crassula falcata,very_high
Tailor's patch,Crassula lactea,medium
Fuzzy crassula,Crassula mesembryanthemoides,high
Fairy crassula,Crassula multicava,medium
Watch Chain / Princess Pine,Crassula muscosa,high
Bare-stem crassula,Crassula nudicaulis,high
Rosette crassula,Crassula orbicularis,high
Jade plant,Crassula ovata,very_high
Crosby's Compact Jade (Dwarf Red Jade),Crassula ovata 'Crosby's Compact',very_high
Gollum Jade / ET's Fingers,Crassula ovata 'Gollum',very_high
Hobbit Jade,Crassula ovata 'Hobbit',very_high
Sunset Jade,Crassula ovata 'Sunset',very_high
Variegated Jade Plant,Crassula ovata 'Variegata',very_high
Calico kitten,Crassula pellucida,high
String of Buttons,Crassula perforata,high
Buddha's Temple,Crassula pyramidalis,very_high
Rosary vine crassula,Crassula rupestris,high
Variegated trailing jade,Crassula sarmentosa,medium
Red carpet crassula,Crassula schmidtii,high
Stonecrop crassula,Crassula socialis,high
Strey's crassula,Crassula streyi,medium
Miniature pine tree,Crassula tetragona,high
Wine Cup Crassula,Crassula umbella,very_high
Cremnophila,Cremnophila nutans,high
Firecracker flower,Crossandra infundibuliformis,medium
Starfish Plant,Cryptanthus acaulis,medium
Marbled Earth Star,Cryptanthus beuckeri,medium
Earth Star,Cryptanthus bivittatus,medium
Rainbow star,Cryptanthus bromelioides,medium
Zonatus earth star,Cryptanthus zonatus,medium
Ctenanthe Amagris (Compactstar),Ctenanthe amabilis,medium
Fishbone Prayer Plant,Ctenanthe burle-marxii,medium
