# What the published sources actually say about indoor light — 562 rows from 80 publishers — compilation CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/) — attribution: GrowSpot — growspotapp.com
# Quotes remain the property of the publisher named in each row.
publisher,source_url,appears_on,subject,value_as_published,quote,read_on
aspca.org,https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/golden-pothos,https://growspotapp.com/guides/low-light-plants-safe-for-cats/,What the ASPCA files it as,Toxic,"""Toxic to Dogs, Toxic to Cats"". Principle: ""Insoluble calcium oxalates"". Signs: ""Oral irritation, intense burning and irritation of mouth, tongue and lips, excessive drooling, vomiting, difficulty swallowing.""",30 August 2026
aspca.org,https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/parlor-palm,https://growspotapp.com/guides/hanging-plants-safe-for-cats/,What the ASPCA files it as,Non-toxic,"""Non-Toxic to Dogs, Non-Toxic to Cats"". Filed as Chamaedorea elegans, Palmae.",30 August 2026
aspca.org,https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/parlor-palm,https://growspotapp.com/guides/low-light-plants-safe-for-cats/,What the ASPCA files it as,Non-toxic,"""Non-Toxic to Dogs, Non-Toxic to Cats"". Filed as Chamaedorea elegans, Palmae.",30 August 2026
aspca.org,https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/peace-lily,https://growspotapp.com/guides/hanging-plants-safe-for-cats/,What the ASPCA files it as,Toxic,"""Toxic to Dogs, Toxic to Cats"", with the same principle and the same list of signs as the pothos above.",30 August 2026
aspca.org,https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/peace-lily,https://growspotapp.com/guides/low-light-plants-safe-for-cats/,What the ASPCA files it as,Toxic,"""Toxic to Dogs, Toxic to Cats"", with the same principle and the same list of signs as the pothos above.",30 August 2026
aspca.org,https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/snake-plant,https://growspotapp.com/guides/hanging-plants-safe-for-cats/,What the ASPCA files it as,Toxic,"""Toxic to Dogs, Toxic to Cats"". Principle: ""Saponins"". Signs: ""Nausea, vomiting, diarrhea.""",30 August 2026
aspca.org,https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/snake-plant,https://growspotapp.com/guides/low-light-plants-safe-for-cats/,What the ASPCA files it as,Toxic,"""Toxic to Dogs, Toxic to Cats"". Principle: ""Saponins"". Signs: ""Nausea, vomiting, diarrhea.""",30 August 2026
aspca.org,https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/spider-plant,https://growspotapp.com/guides/hanging-plants-safe-for-cats/,What the ASPCA files it as,Non-toxic,"""Non-Toxic to Dogs, Non-Toxic to Cats"". Filed as Chlorophytum comosum, Asparagaceae, with no clinical signs listed.",30 August 2026
aspca.org,https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/spider-plant,https://growspotapp.com/guides/low-light-plants-safe-for-cats/,What the ASPCA files it as,Non-toxic,"""Non-Toxic to Dogs, Non-Toxic to Cats"". Filed as Chlorophytum comosum, Asparagaceae, with no clinical signs listed.",30 August 2026
backtotheroots.com,https://backtotheroots.com/pages/shadow_test,https://growspotapp.com/guides/check-light-without-an-app/,How it describes a bright spot's shadow,"""A well-defined shadow""",midday · where to hold your hand,29 August 2026
basc.pnnl.gov,https://basc.pnnl.gov/resource-guides/bathroom-exhaust-fans,https://growspotapp.com/guides/can-i-put-a-plant-in-the-shower/,What it measures,50 cfm / 20 cfm,"""bathroom fans should have a mechanical exhaust capacity of &ge; 50 cfm for intermittent operation or &ge; 20 cfm of ventilation when operated continuously.""",30 August 2026
bbg.org,https://www.bbg.org/article/aspidistra,https://growspotapp.com/guides/leggy-houseplants/,The floor it gives,as low as 25 footcandles,Botanic garden · Aspidistra (cast iron plant),29 August 2026
bbg.org,https://www.bbg.org/article/the_genus_ficus,https://growspotapp.com/guides/fiddle-leaf-fig-north-facing-window/,What it says a fiddle leaf fig needs,"2,000 to 6,000 foot-candles",Fiddle-Leaf Fig (Ficus lyrata),29 August 2026
bbg.org,https://www.bbg.org/article/the_genus_ficus,https://growspotapp.com/guides/fiddle-leaf-fig-north-facing-window/,What it says a fiddle leaf fig needs,under 250 foot-candles,Fiddle-Leaf Fig (Ficus lyrata),29 August 2026
bbg.org,https://www.bbg.org/article/the_genus_ficus,https://growspotapp.com/guides/fiddle-leaf-fig-south-facing-window/,What it says a fiddle leaf fig needs,"2,000 to 6,000 foot-candles",Fiddle-Leaf Fig (Ficus lyrata),29 August 2026
bbg.org,https://www.bbg.org/article/the_genus_ficus,https://growspotapp.com/guides/fiddle-leaf-fig-south-facing-window/,What it says a fiddle leaf fig needs,under 250 foot-candles,Fiddle-Leaf Fig (Ficus lyrata),29 August 2026
bbg.org,https://www.bbg.org/article/the_genus_ficus,https://growspotapp.com/guides/how-much-light-does-a-fiddle-leaf-fig-need/,What it says a fiddle leaf fig needs,"2,000 to 6,000 foot-candles",Fiddle-Leaf Fig (Ficus lyrata),29 August 2026
bbg.org,https://www.bbg.org/article/the_genus_ficus,https://growspotapp.com/guides/how-much-light-does-a-fiddle-leaf-fig-need/,What it says a fiddle leaf fig needs,under 250 foot-candles,Fiddle-Leaf Fig (Ficus lyrata),29 August 2026
bbg.org,https://www.bbg.org/article/the_genus_ficus,https://growspotapp.com/guides/rubber-plant-east-facing-window/,What it says a rubber plant needs,"4,000 to 8,000 foot-candles",India Rubber Tree (Ficus elastica),29 August 2026
bbg.org,https://www.bbg.org/article/the_genus_ficus,https://growspotapp.com/guides/rubber-plant-east-facing-window/,What it says a rubber plant needs,as little as 250 foot-candles,India Rubber Tree (Ficus elastica),29 August 2026
bbg.org,https://www.bbg.org/article/the_genus_ficus,https://growspotapp.com/guides/rubber-plant-west-facing-window/,What it says a rubber plant needs,"4,000 to 8,000 foot-candles",India Rubber Tree (Ficus elastica),29 August 2026
bbg.org,https://www.bbg.org/article/the_genus_ficus,https://growspotapp.com/guides/rubber-plant-west-facing-window/,What it says a rubber plant needs,as little as 250 foot-candles,India Rubber Tree (Ficus elastica),29 August 2026
bf.unl.edu,https://bf.unl.edu/policies/building-energy-use/,https://growspotapp.com/guides/plants-for-a-classroom/,What the building is set to,55 °F,"""allow temperatures to drop back to 55°F during unoccupied periods.""",30 August 2026
bf.unl.edu,https://bf.unl.edu/policies/building-energy-use/,https://growspotapp.com/guides/plants-for-a-classroom/,What the building is set to,85 °F,"""allow temperatures to rise to 85°F during unoccupied periods.""",30 August 2026
blog.uvm.edu,https://blog.uvm.edu/cwcallah/2019/08/14/ventilation-in-greenhouses-and-high-tunnels/,https://growspotapp.com/guides/do-indoor-plants-need-air-circulation/,What it says air movement does,Equivalent conditions,"""Circulation is important to ensure each square foot of growing space is getting roughly equivalent growing conditions.""",30 August 2026
blog.uvm.edu,https://blog.uvm.edu/cwcallah/2019/08/14/ventilation-in-greenhouses-and-high-tunnels/,https://growspotapp.com/guides/do-indoor-plants-need-air-circulation/,What it says air movement does,Every 20 to 50 feet,"""it is generally recommended to place HAF fans every 50 feet along the length of flow"", and with dense planting ""a maximum distance between HAF fans of 20-30 feet is more appropriate.""",30 August 2026
blog.uvm.edu,https://blog.uvm.edu/cwcallah/2019/08/14/ventilation-in-greenhouses-and-high-tunnels/,https://growspotapp.com/guides/do-indoor-plants-need-air-circulation/,What it says air movement does,No dead spots,"""HAF's push the air around the growing area and should ensure that there are no areas without some air flow.""",30 August 2026
blog.uvm.edu,https://blog.uvm.edu/cwcallah/2019/08/14/ventilation-in-greenhouses-and-high-tunnels/,https://growspotapp.com/guides/do-indoor-plants-need-air-circulation/,What it says air movement does,Not on its own,"""If you circulate without ventilation, you run the risk of having conditions in the structure growing overly hot and humid leading to plant stress and disease.""",30 August 2026
bobvila.com,https://www.bobvila.com/articles/shower-plants/,https://growspotapp.com/guides/bathroom-plants/,What it says,But the window sorts it,"""If you have tons of natural light coming through a large, south-facing bathroom window, you'll want light-loving plants"", and ""For a bathroom with a north-facing window, add low-light plants instead.""",30 August 2026
bobvila.com,https://www.bobvila.com/articles/shower-plants/,https://growspotapp.com/guides/bathroom-plants/,What it says,The humidity is the reason,"""Indoor plants grow better in the higher humidity of a bathroom.""",30 August 2026
bobvila.com,https://www.bobvila.com/articles/shower-plants/,https://growspotapp.com/guides/bathroom-plants/,What it says,With no window at all,"""Adding plants in a bathroom with no natural light is doable with only a few select plants or as a part-time plant home for a few days at a time.""",30 August 2026
bobvila.com,https://www.bobvila.com/articles/shower-plants/,https://growspotapp.com/guides/can-i-put-a-plant-in-the-shower/,What it says about the steam,But the light decides,"""Adding plants in a bathroom with no natural light is doable with only a few select plants or as a part-time plant home for a few days at a time.""",30 August 2026
bobvila.com,https://www.bobvila.com/articles/shower-plants/,https://growspotapp.com/guides/can-i-put-a-plant-in-the-shower/,What it says about the steam,Sorted by window,"""If you have tons of natural light coming through a large, south-facing bathroom window, you'll want light-loving plants"", and ""For a bathroom with a north-facing window, add low-light plants instead.""",30 August 2026
bobvila.com,https://www.bobvila.com/articles/shower-plants/,https://growspotapp.com/guides/can-i-put-a-plant-in-the-shower/,What it says about the steam,The reason to do it,"""Indoor plants grow better in the higher humidity of a bathroom.""",30 August 2026
botanicalgarden.berkeley.edu,https://botanicalgarden.berkeley.edu/learn/garden-stories/the-swiss-cheese-plant/,https://growspotapp.com/guides/why-is-my-monstera-not-splitting/,What it says about the holes,Nobody has tested it,"On the adaptive function: there are several hypotheses and ""no direct experimental studies have been completed to determine the functions they actually serve.""",30 August 2026
content.ces.ncsu.edu,https://content.ces.ncsu.edu/extension-gardener-handbook/18-plants-grown-in-containers,https://growspotapp.com/guides/leggy-houseplants/,The floor it gives,approximately 85 fc,"University extension · the average houseplant, to maintain its original quality f",29 August 2026
content.ces.ncsu.edu,https://content.ces.ncsu.edu/preventing-mold-in-your-home,https://growspotapp.com/guides/plants-for-a-laundry-room/,What it says,"Below 60%, ideally 30–50%","""The EPA suggests keeping indoor humidity below 60% relative humidity, ideally between 30 and 50 percent.""",30 August 2026
content.ces.ncsu.edu,https://content.ces.ncsu.edu/preventing-mold-in-your-home,https://growspotapp.com/guides/plants-for-a-laundry-room/,What it says,Vent the appliances,"Listed among the measures against mould: ""Venting appliances to the outdoors (such as your dryer and range hood).""",30 August 2026
costafarms.com,https://costafarms.com/blogs/get-growing/the-science-of-finding-the-right-light,https://growspotapp.com/guides/leggy-houseplants/,The floor it gives,100 FC,Grower · low-light-tolerant plants — bare minimum,29 August 2026
deckers-nursery.com,https://deckers-nursery.com/garden-learning-center/time-for-houseplants-tropicals-to-come-inside-for-the-season/,https://growspotapp.com/guides/when-to-bring-plants-inside/,The temperature it gives,50 °F,Stated as a night-time low,29 August 2026
deepgreenpermaculture.com,https://deepgreenpermaculture.com/2024/04/14/how-to-measure-light-to-ensure-your-houseplants-thrive/,https://growspotapp.com/guides/check-light-without-an-app/,How it describes a bright spot's shadow,"""A sharp, clearly defined shadow""",None of the three,29 August 2026
digitalcommons.usf.edu,https://digitalcommons.usf.edu/tropical_ecology/79/,https://growspotapp.com/guides/why-is-my-monstera-not-splitting/,What it says about the holes,"The wind explanation, tested","""Holes in Monstera leaves were not found to have a very large impact on the degree of wind damage that a plant endures, and the presence of holes was found to actually increase the level of herbivory on a given leaf.""",30 August 2026
drexel.edu,https://drexel.edu/news/archive/2019/november/potted-plants-do-not-improve-air-quality,https://growspotapp.com/guides/bedroom-plants/,What it says,"100 to 1,000 per m²","""it would take between 100 and 1,000 … per square meter of floor space to compete with the air cleaning capacity of a building's air handling system or even just a couple open windows in a house."" The elided word is the one our own copy rule will not let us print.",30 August 2026
drexel.edu,https://drexel.edu/news/archive/2019/november/potted-plants-do-not-improve-air-quality,https://growspotapp.com/guides/bedroom-plants/,What it says,Orders of magnitude,"""the rate at which plants dissipated VOCs in a chamber was orders of magnitude slower than the standard rate of air exchange in a building — thus proving the plants' overall effect on indoor air quality to be irrelevant.""",30 August 2026
drexel.edu,https://drexel.edu/news/archive/2019/november/potted-plants-do-not-improve-air-quality,https://growspotapp.com/guides/bedroom-plants/,What it says,The plain version,"""Plants are great, but they don't actually clean indoor air quickly enough to have an effect on the air quality of your home or office environment.""",30 August 2026
epa.gov,https://www.epa.gov/indoor-air-quality-iaq/inside-story-guide-indoor-air-quality,https://growspotapp.com/guides/bedroom-plants/,What it says,"No evidence, at a reasonable number","""There is currently no evidence, however, that a reasonable number of houseplants remove significant quantities of pollutants in homes and offices.""",30 August 2026
extension.arizona.edu,https://extension.arizona.edu/publication/indoor-plant-selection-and-care,https://growspotapp.com/guides/are-light-meter-apps-accurate/,What it measures in,"Foot-candles, different scale","""high, 150–1000 foot-candles (fc); medium 75–150 fc; and low, 25–75 fc.""",30 August 2026
extension.arizona.edu,https://extension.arizona.edu/publication/indoor-plant-selection-and-care,https://growspotapp.com/guides/bathroom-plants/,What it says,Where low light starts,"""Low Light: areas more than eight feet from windows as in the center of a room, a hallway or an inside wall.""",30 August 2026
extension.arizona.edu,https://extension.arizona.edu/publication/indoor-plant-selection-and-care,https://growspotapp.com/guides/dark-corner-plants/,What it says about a corner,More than eight feet,"""Low Light: areas more than eight feet from windows as in the center of a room, a hallway or an inside wall.""",30 August 2026
extension.arizona.edu,https://extension.arizona.edu/publication/indoor-plant-selection-and-care,https://growspotapp.com/guides/east-facing-window-plants/,The figure,Four and eight feet,"""High Light: areas within four feet of large south-east or west facing windows""; ""Medium Light: locations in a range of four to eight feet from south and east windows and west windows that do not receive direct sun.""",30 August 2026
extension.arizona.edu,https://extension.arizona.edu/publication/indoor-plant-selection-and-care,https://growspotapp.com/guides/fiddle-leaf-fig-north-facing-window/,What it says a fiddle leaf fig needs,75–150 foot-candles,"listed under the heading ""Medium Light (75–150 fc)""",29 August 2026
extension.arizona.edu,https://extension.arizona.edu/publication/indoor-plant-selection-and-care,https://growspotapp.com/guides/fiddle-leaf-fig-south-facing-window/,What it says a fiddle leaf fig needs,75–150 foot-candles,"listed under the heading ""Medium Light (75–150 fc)""",29 August 2026
extension.arizona.edu,https://extension.arizona.edu/publication/indoor-plant-selection-and-care,https://growspotapp.com/guides/full-sun-indoor-plants/,The figure,Four and eight feet,"""High Light: areas within four feet of large south-east or west facing windows""; ""Medium Light: locations in a range of four to eight feet from south and east windows and west windows that do not receive direct sun.""",30 August 2026
extension.arizona.edu,https://extension.arizona.edu/publication/indoor-plant-selection-and-care,https://growspotapp.com/guides/golden-pothos-west-facing-window/,What it says a golden pothos needs,25–75 foot-candles,"listed under the heading ""Low Light (25–75 fc)""",29 August 2026
extension.arizona.edu,https://extension.arizona.edu/publication/indoor-plant-selection-and-care,https://growspotapp.com/guides/how-bright-is-the-middle-of-a-room/,What it says about distance,Four and eight feet,"""High Light: areas within four feet of large south-east or west facing windows""; ""Low Light: areas more than eight feet from windows as in the center of a room, a hallway or an inside wall.""",30 August 2026
extension.arizona.edu,https://extension.arizona.edu/publication/indoor-plant-selection-and-care,https://growspotapp.com/guides/how-far-from-a-window-can-plants-live/,The distance it gives,Four feet,"""High Light: areas within four feet of large south-east or west facing windows.""",30 August 2026
extension.arizona.edu,https://extension.arizona.edu/publication/indoor-plant-selection-and-care,https://growspotapp.com/guides/how-far-from-a-window-can-plants-live/,The distance it gives,Four to eight feet,"""Medium Light: locations in a range of four to eight feet from south and east windows and west windows that do not receive direct sun.""",30 August 2026
extension.arizona.edu,https://extension.arizona.edu/publication/indoor-plant-selection-and-care,https://growspotapp.com/guides/how-far-from-a-window-can-plants-live/,The distance it gives,More than eight feet,"""Low Light: areas more than eight feet from windows as in the center of a room, a hallway or an inside wall.""",30 August 2026
extension.arizona.edu,https://extension.arizona.edu/publication/indoor-plant-selection-and-care,https://growspotapp.com/guides/how-many-foot-candles-is-bright-indirect-light/,The bands it gives,25–75 / 75–150 / 150–1000 fc,"""In general, there are three categories of light intensity for interior plants: high, 150–1000 foot-candles (fc); medium 75–150 fc; and low, 25–75 fc.""",30 August 2026
extension.arizona.edu,https://extension.arizona.edu/publication/indoor-plant-selection-and-care,https://growspotapp.com/guides/how-much-light-does-a-fiddle-leaf-fig-need/,What it says a fiddle leaf fig needs,75–150 foot-candles,"listed under the heading ""Medium Light (75–150 fc)""",29 August 2026
extension.arizona.edu,https://extension.arizona.edu/publication/indoor-plant-selection-and-care,https://growspotapp.com/guides/how-much-light-does-a-jade-plant-need/,Where the top band starts,150–1000 fc,"""high, 150–1000 foot-candles (fc)"", reached in ""areas within four feet of large south-east or west facing windows"".",30 August 2026
extension.arizona.edu,https://extension.arizona.edu/publication/indoor-plant-selection-and-care,https://growspotapp.com/guides/how-much-light-does-a-peace-lily-need/,What it says a peace lily needs,75–150 foot-candles,"listed under the heading ""Medium Light (75–150 fc)""",29 August 2026
extension.arizona.edu,https://extension.arizona.edu/publication/indoor-plant-selection-and-care,https://growspotapp.com/guides/how-much-light-does-a-pothos-need/,What it says a pothos needs,25–75 foot-candles,"listed under the heading ""Low Light (25–75 fc)""",29 August 2026
extension.arizona.edu,https://extension.arizona.edu/publication/indoor-plant-selection-and-care,https://growspotapp.com/guides/how-much-light-does-a-snake-plant-need/,What it says a snake plant needs,25–75 foot-candles,"listed under the heading ""Low Light (25–75 fc)""",29 August 2026
extension.arizona.edu,https://extension.arizona.edu/publication/indoor-plant-selection-and-care,https://growspotapp.com/guides/how-to-know-which-way-my-window-faces/,What it attaches to the direction,High light,"""areas within four feet of large south-east or west facing windows.""",30 August 2026
extension.arizona.edu,https://extension.arizona.edu/publication/indoor-plant-selection-and-care,https://growspotapp.com/guides/how-to-know-which-way-my-window-faces/,What it attaches to the direction,Medium light,"""locations in a range of four to eight feet from south and east windows and west windows that do not receive direct sun.""",30 August 2026
extension.arizona.edu,https://extension.arizona.edu/publication/indoor-plant-selection-and-care,https://growspotapp.com/guides/how-to-measure-light-for-plants/,What it measures,Four and eight feet,"""High Light: areas within four feet of large south-east or west facing windows""; ""Low Light: areas more than eight feet from windows as in the center of a room, a hallway or an inside wall.""",30 August 2026
extension.arizona.edu,https://extension.arizona.edu/publication/indoor-plant-selection-and-care,https://growspotapp.com/guides/is-my-plant-getting-enough-light/,The floor it gives,25–75 / 75–150 / 150–1000 fc,"""In general, there are three categories of light intensity for interior plants: high, 150–1000 foot-candles (fc); medium 75–150 fc; and low, 25–75 fc.""",30 August 2026
extension.arizona.edu,https://extension.arizona.edu/publication/indoor-plant-selection-and-care,https://growspotapp.com/guides/jade-plant-north-facing-window/,What it says a jade plant needs,150–1000 foot-candles,"listed under the heading ""High Light (150–1000 fc)""",29 August 2026
extension.arizona.edu,https://extension.arizona.edu/publication/indoor-plant-selection-and-care,https://growspotapp.com/guides/jade-plant-south-facing-window/,What it says a jade plant needs,150–1000 foot-candles,"listed under the heading ""High Light (150–1000 fc)""",29 August 2026
extension.arizona.edu,https://extension.arizona.edu/publication/indoor-plant-selection-and-care,https://growspotapp.com/guides/low-light-plants-that-survive/,The figure,25–75 / 75–150 / 150–1000 fc,"""In general, there are three categories of light intensity for interior plants: high, 150–1000 foot-candles (fc); medium 75–150 fc; and low, 25–75 fc.""",30 August 2026
extension.arizona.edu,https://extension.arizona.edu/publication/indoor-plant-selection-and-care,https://growspotapp.com/guides/north-facing-window-plants/,The figure,Beyond eight feet,"""Low Light: areas more than eight feet from windows as in the center of a room, a hallway or an inside wall.""",30 August 2026
extension.arizona.edu,https://extension.arizona.edu/publication/indoor-plant-selection-and-care,https://growspotapp.com/guides/north-facing-window-plants/,The figure,Four and eight feet,"""High Light: areas within four feet of large south-east or west facing windows""; ""Medium Light: locations in a range of four to eight feet from south and east windows and west windows that do not receive direct sun.""",30 August 2026
extension.arizona.edu,https://extension.arizona.edu/publication/indoor-plant-selection-and-care,https://growspotapp.com/guides/office-desk-plants/,The figure,25–75 fc,"Its low band, and the places it names for it: ""areas more than eight feet from windows as in the center of a room, a hallway or an inside wall.""",30 August 2026
extension.arizona.edu,https://extension.arizona.edu/publication/indoor-plant-selection-and-care,https://growspotapp.com/guides/parlor-palm-east-facing-window/,What it says a parlor palm needs,25–75 foot-candles,"listed under the heading ""Low Light (25–75 fc)""",29 August 2026
extension.arizona.edu,https://extension.arizona.edu/publication/indoor-plant-selection-and-care,https://growspotapp.com/guides/peace-lily-south-facing-window/,What it says a peace lily needs,75–150 foot-candles,"listed under the heading ""Medium Light (75–150 fc)""",29 August 2026
extension.arizona.edu,https://extension.arizona.edu/publication/indoor-plant-selection-and-care,https://growspotapp.com/guides/peace-lily-west-facing-window/,What it says a peace lily needs,75–150 foot-candles,"listed under the heading ""Medium Light (75–150 fc)""",29 August 2026
extension.arizona.edu,https://extension.arizona.edu/publication/indoor-plant-selection-and-care,https://growspotapp.com/guides/philodendron-south-facing-window/,What it says a philodendron needs,75–150 foot-candles,"listed under the heading ""Medium Light (75–150 fc)""; carries the page'",29 August 2026
extension.arizona.edu,https://extension.arizona.edu/publication/indoor-plant-selection-and-care,https://growspotapp.com/guides/plants-for-a-basement/,The figure,25–75 fc,"""low, 25–75 fc"", and the places it names are ""areas more than eight feet from windows as in the center of a room, a hallway or an inside wall"".",30 August 2026
extension.arizona.edu,https://extension.arizona.edu/publication/indoor-plant-selection-and-care,https://growspotapp.com/guides/plants-for-a-hallway/,Where low light starts,More than eight feet,"""Low Light: areas more than eight feet from windows as in the center of a room, a hallway or an inside wall."" Its low band is ""low, 25–75 fc"".",30 August 2026
extension.arizona.edu,https://extension.arizona.edu/publication/indoor-plant-selection-and-care,https://growspotapp.com/guides/plants-for-a-room-with-no-windows/,The figure,Beyond eight feet,"""Low Light: areas more than eight feet from windows as in the center of a room, a hallway or an inside wall.""",30 August 2026
extension.arizona.edu,https://extension.arizona.edu/publication/indoor-plant-selection-and-care,https://growspotapp.com/guides/pothos-east-facing-window/,What it says a pothos needs,25–75 foot-candles,"listed under the heading ""Low Light (25–75 fc)""",29 August 2026
extension.arizona.edu,https://extension.arizona.edu/publication/indoor-plant-selection-and-care,https://growspotapp.com/guides/rubber-plant-east-facing-window/,What it says a rubber plant needs,75–150 foot-candles,"listed under the heading ""Medium Light (75–150 fc)""",29 August 2026
extension.arizona.edu,https://extension.arizona.edu/publication/indoor-plant-selection-and-care,https://growspotapp.com/guides/rubber-plant-west-facing-window/,What it says a rubber plant needs,75–150 foot-candles,"listed under the heading ""Medium Light (75–150 fc)""",29 August 2026
extension.arizona.edu,https://extension.arizona.edu/publication/indoor-plant-selection-and-care,https://growspotapp.com/guides/snake-plant-south-facing-window/,What it says a snake plant needs,25–75 foot-candles,"listed under the heading ""Low Light (25–75 fc)""",29 August 2026
extension.arizona.edu,https://extension.arizona.edu/publication/indoor-plant-selection-and-care,https://growspotapp.com/guides/snake-plant-west-facing-window/,What it says a snake plant needs,25–75 foot-candles,"listed under the heading ""Low Light (25–75 fc)""",29 August 2026
extension.arizona.edu,https://extension.arizona.edu/publication/indoor-plant-selection-and-care,https://growspotapp.com/guides/south-facing-window-plants/,The figure,Four and eight feet,"""High Light: areas within four feet of large south-east or west facing windows""; ""Medium Light: locations in a range of four to eight feet from south and east windows and west windows that do not receive direct sun.""",30 August 2026
extension.arizona.edu,https://extension.arizona.edu/publication/indoor-plant-selection-and-care,https://growspotapp.com/guides/spider-plant-west-facing-window/,What it says a spider plant needs,75–150 foot-candles,"listed under the heading ""Medium Light (75–150 fc)""",29 August 2026
extension.arizona.edu,https://extension.arizona.edu/publication/indoor-plant-selection-and-care,https://growspotapp.com/guides/west-facing-window-plants/,The figure,Four and eight feet,"""High Light: areas within four feet of large south-east or west facing windows""; ""Medium Light: locations in a range of four to eight feet from south and east windows and west windows that do not receive direct sun.""",30 August 2026
extension.arizona.edu,https://extension.arizona.edu/publication/indoor-plant-selection-and-care,https://growspotapp.com/guides/why-iphone-light-meter-apps-disagree/,What it measures in,"Foot-candles, different scale","""high, 150–1000 foot-candles (fc); medium 75–150 fc; and low, 25–75 fc.""",30 August 2026
